CODIGO FRICON;EQUIPO;ORIGEN;CAPACIDAD;CARPETA;ARCHIVO PDF;FOTO
CAC-DSP-01;DESPULPADORA DE MAZORCAS DE CACAO;Nacional;8 kg;01 FERMENTACION Y SECADO;CAC-DSP-01 DESPULPADORA-DE-MAZORCAS-DE-CACAO.pdf;SIN FOTO
CAC-FER-01;CAJÓN FERMENTADOR PARA CACAO;Nacional;2 o 3 compartimientos;01 FERMENTACION Y SECADO;CAC-FER-01 CAJON-FERMENTADOR-PARA-CACAO.pdf;SIN FOTO
CAC-MAR-01;MARQUESINA DE SECADO PARA CACAO;Nacional;6,00 x 2,50 x 2,50 m;01 FERMENTACION Y SECADO;CAC-MAR-01 MARQUESINA-DE-SECADO-PARA-CACAO.pdf;SIN FOTO
CAC-SEC-01;SECADORA DE GRANO PREMIUM;Nacional;10, 20 o 30 kg;01 FERMENTACION Y SECADO;CAC-SEC-01 SECADORA-DE-GRANO-PREMIUM.pdf;SIN FOTO
CAC-ZAR-01;ZARANDA PARA CACAO;Nacional;Varias medidas disponibles;01 FERMENTACION Y SECADO;CAC-ZAR-01 ZARANDA-PARA-CACAO.pdf;SIN FOTO
CAC-ENF-01;ENFRIADOR DE CACAO PREMIUM;Nacional;10, 20 o 30 kg;02 TOSTION Y ENFRIADO;CAC-ENF-01 ENFRIADOR-DE-CACAO-PREMIUM.pdf;SIN FOTO
CAC-ENF-02;BANDEJA ENFRIADORA DE GRANO;Importado;10 kg/batch;02 TOSTION Y ENFRIADO;CAC-ENF-02 BANDEJA-ENFRIADORA-DE-GRANO.pdf;SIN FOTO
CAC-TOS-01;TOSTADOR COMERCIAL 10 KG;Importado;10 kg/batch;02 TOSTION Y ENFRIADO;CAC-TOS-01 TOSTADOR-COMERCIAL-10-KG.pdf;SIN FOTO
CAC-TOS-02;TOSTADOR DE CACAO 1,7 KG;Importado;1,7 kg;02 TOSTION Y ENFRIADO;CAC-TOS-02 TOSTADOR-DE-CACAO-17-KG.pdf;SIN FOTO
CAC-TOS-03;TOSTADOR DE CACAO MINI;Nacional;Uso artesanal;02 TOSTION Y ENFRIADO;CAC-TOS-03 TOSTADOR-DE-CACAO-MINI.pdf;SIN FOTO
CAC-TOS-04;TOSTADOR DE CACAO PREMIUM;Nacional;10, 20 o 30 kg;02 TOSTION Y ENFRIADO;CAC-TOS-04 TOSTADOR-DE-CACAO-PREMIUM.pdf;SIN FOTO
CAC-TOS-05;TOSTADOR DE CACAO TRADICIONAL;Nacional;15 o 25 kg;02 TOSTION Y ENFRIADO;CAC-TOS-05 TOSTADOR-DE-CACAO-TRADICIONAL.pdf;SIN FOTO
CAC-CLA-01;CLASIFICADORA DE GRANO PREMIUM;Nacional;30 kg/hora;03 DESCASCARILLADO Y CLASIFICACION;CAC-CLA-01 CLASIFICADORA-DE-GRANO-PREMIUM.pdf;SIN FOTO
CAC-DSC-01;DESCASCARILLADORA COMERCIAL;Importado;100 kg/hora;03 DESCASCARILLADO Y CLASIFICACION;CAC-DSC-01 DESCASCARILLADORA-COMERCIAL.pdf;SIN FOTO
CAC-DSC-02;DESCASCARILLADORA DE CACAO MANUAL;Nacional;8 kg;03 DESCASCARILLADO Y CLASIFICACION;CAC-DSC-02 DESCASCARILLADORA-DE-CACAO-MANUAL.pdf;SIN FOTO
CAC-DSC-03;DESCASCARILLADORA DE CACAO PREMIUM;Nacional;10, 20 o 30 kg;03 DESCASCARILLADO Y CLASIFICACION;CAC-DSC-03 DESCASCARILLADORA-DE-CACAO-PREMIUM.pdf;SIN FOTO
CAC-DSC-04;DESCASCARILLADORA DE CACAO TRADICIONAL;Nacional;15 kg;03 DESCASCARILLADO Y CLASIFICACION;CAC-DSC-04 DESCASCARILLADORA-DE-CACAO-TRADICIONAL.pdf;SIN FOTO
CAC-DSC-05;DESCASCARILLADORA DELUXE DE GRANO;Importado;15 kg/hora;03 DESCASCARILLADO Y CLASIFICACION;CAC-DSC-05 DESCASCARILLADORA-DELUXE-DE-GRANO.pdf;SIN FOTO
CAC-DSC-06;DESCASCARILLADORA TRADICIONAL DE GRANO;Importado;5 o 10 kg/hora;03 DESCASCARILLADO Y CLASIFICACION;CAC-DSC-06 DESCASCARILLADORA-TRADICIONAL-DE-GRANO.pdf;SIN FOTO
CAC-PAR-01;PARTIDOR MANUAL DE GRANO;Importado;15 kg/hora;03 DESCASCARILLADO Y CLASIFICACION;CAC-PAR-01 PARTIDOR-MANUAL-DE-GRANO.pdf;SIN FOTO
CAC-PAR-02;PARTIDOR POWER AUTOMÁTICO DE GRANO;Importado;30 kg/hora;03 DESCASCARILLADO Y CLASIFICACION;CAC-PAR-02 PARTIDOR-POWER-AUTOMATICO-DE-GRANO.pdf;SIN FOTO
CAC-ACC-01;TAMBOR PEQUEÑO PARA REFINADOR ECGC;Importado;0,5 - 1 kg/batch;04 MOLIENDA Y REFINACION;CAC-ACC-01 TAMBOR-PEQUENO-PARA-REFINADOR-ECGC.pdf;SIN FOTO
CAC-MOL-01;MOLINO COLOIDAL PARA GRANOS;Importado;10-15 o 20-25 kg/hora;04 MOLIENDA Y REFINACION;CAC-MOL-01 MOLINO-COLOIDAL-PARA-GRANOS.pdf;SIN FOTO
CAC-MOL-02;MOLINO INDUSTRIAL PARA GRANOS;Nacional;30 kg/hora;04 MOLIENDA Y REFINACION;CAC-MOL-02 MOLINO-INDUSTRIAL-PARA-GRANOS.pdf;SIN FOTO
CAC-PRF-01;PRE-REFINADOR PARA GRANOS;Importado;8 kg/hora;04 MOLIENDA Y REFINACION;CAC-PRF-01 PRE-REFINADOR-PARA-GRANOS.pdf;SIN FOTO
CAC-PUL-01;PULVERIZADORA MULTIUSOS;Importado;2,5 kg/batch;04 MOLIENDA Y REFINACION;CAC-PUL-01 PULVERIZADORA-MULTIUSOS.pdf;SIN FOTO
CAC-REF-01;REFINADOR DE PIEDRA PREMIUM;Nacional;10, 20 o 30 kg;04 MOLIENDA Y REFINACION;CAC-REF-01 REFINADOR-DE-PIEDRA-PREMIUM.pdf;SIN FOTO
CAC-REF-02;REFINADOR ECGC-12SL;Importado;4,5 kg/batch;04 MOLIENDA Y REFINACION;CAC-REF-02 REFINADOR-ECGC-12SL.pdf;SIN FOTO
CAC-REF-03;REFINADOR ECGC-12SLTA;Importado;4,5 kg/batch;04 MOLIENDA Y REFINACION;CAC-REF-03 REFINADOR-ECGC-12SLTA.pdf;SIN FOTO
CAC-REF-04;REFINADOR ECGC-12SQSS;Importado;5 kg/batch;04 MOLIENDA Y REFINACION;CAC-REF-04 REFINADOR-ECGC-12SQSS.pdf;SIN FOTO
CAC-REF-05;REFINADOR ECGC-65E;Importado;30-100 kg/batch;04 MOLIENDA Y REFINACION;CAC-REF-05 REFINADOR-ECGC-65E.pdf;SIN FOTO
CAC-REF-06;REFINADOR DE BALINES PREMIUM;Nacional;10, 20 o 30 kg;04 MOLIENDA Y REFINACION;CAC-REF-06 REFINADOR-DE-BALINES-PREMIUM.pdf;SIN FOTO
